# 团队知识索引

由 `scripts/kb.py index` 生成。documented = 有文档依据，尚未独立核验；draft = 待确认；verified 仅在所记范围和日期内有效。

| 项目 | 类型 | 知识 | 状态 | 最后核验 | 下次复核 |
|---|---|---|---|---|---|
| collart_fashion | table | [Fashion 订单收入与主站边界](collart_fashion/revenue-boundary.md) | documented | 未核验 | 2026-10-12 |
| collart_web | metric | [Web 渠道层级与 X、Meta 归因](collart_web/channel-attribution.md) | documented | 未核验 | 2026-10-12 |
| collart_web | table | [Web 设备画像与登录账号映射](collart_web/identity.md) | documented | 未核验 | 2026-10-12 |
| shared | playbook | [经营变化分析的取数与判断流程](shared/analysis-playbook.md) | documented | 未核验 | 2026-10-12 |
| shared | metric | [活跃、新增、留存与指标粒度](shared/core-metrics.md) | documented | 未核验 | 2026-10-12 |
| shared | event | [原始埋点与漏斗证据](shared/event-evidence.md) | documented | 未核验 | 2026-10-12 |
| shared | quality | [旧资料冲突与待核验清单](shared/known-conflicts.md) | draft | 未核验 | 2026-09-26 |
| shared | metric | [付费转化与收入口径](shared/payment-evidence.md) | documented | 未核验 | 2026-10-12 |
| shared | business | [项目范围与四端标识](shared/project-overview.md) | documented | 未核验 | 2026-10-12 |
| shared | sql | [SQL 查询范围与验证约定](shared/sql-practice.md) | documented | 未核验 | 2026-10-12 |
| shared | table | [按分析问题选择 ADS 表](shared/table-routing.md) | documented | 未核验 | 2026-10-12 |
| shared | lineage | [事件到经营指标的数据血缘](shared/warehouse-lineage.md) | documented | 未核验 | 2026-10-12 |
